"","V1","V2","V3","V4","F1","F2","theta_V1","theta_V2","theta_V3","theta_V4","theta_F1","theta_F2"
"955",0,0.3,0.2,0.4,3,3,0.0190526882523189,0.0292178908564074,0.0228855067602272,0.0511397991757748,0.349036104843058,0.165965879403527
"956",0.1,0.3,0.2,0.4,3,3,0.0209828999545678,0.0292391488116065,0.0229036092221606,0.0511482630027514,0.349175011860693,0.166141438945794
"957",0.2,0.3,0.2,0.4,3,3,0.0233197106012609,0.0292649240487469,0.0229255614614568,0.0511585287802827,0.349343578475278,0.166354459334901
"958",0.3,0.3,0.2,0.4,3,3,0.0261941410128283,0.029296688587606,0.0229526192391756,0.0511711851053546,0.349551528739811,0.16661721207464
"959",0.4,0.3,0.2,0.4,3,3,0.029792143925114,0.029336541857139,0.0229865743302318,0.0511870723173771,0.349812768065783,0.166947239149063
"960",0.5,0.3,0.2,0.4,3,3,0.0343795391876923,0.0293875047298859,0.0230300064191206,0.0512074012487332,0.350147375611133,0.167369858830058
"961",0,0.4,0.2,0.4,3,3,0.0190857630934119,0.0331859689001586,0.0230393295779003,0.0511504378701191,0.349210715800401,0.167460649054497
"962",0.1,0.4,0.2,0.4,3,3,0.0210191468244218,0.0332094229973002,0.0230573344295675,0.0511588872575354,0.349349466445915,0.16763605341374
"963",0.2,0.4,0.2,0.4,3,3,0.0233597081498912,0.0332378596515834,0.0230791676957027,0.0511691352504754,0.349517838722517,0.167848879208555
"964",0.3,0.4,0.2,0.4,3,3,0.0262386002836007,0.033272901706058,0.0231060777542601,0.0511817691630259,0.349725541060238,0.168111380816178
"965",0.4,0.4,0.2,0.4,3,3,0.0298419226370067,0.0333168631082597,0.0231398455145208,0.05119762735233,0.349986453987893,0.168441072382597
"966",0.5,0.4,0.2,0.4,3,3,0.0344356234682452,0.0333730722406268,0.0231830343547571,0.0512179174861592,0.350320615593697,0.168863225290846
"967",0,0.5,0.2,0.4,3,3,0.0191272359213048,0.038210526316076,0.0232322863858733,0.0511637644706704,0.349429586177787,0.169345300089015
"968",0.1,0.5,0.2,0.4,3,3,0.0210645942962023,0.0382364517635822,0.0232501595073311,0.051172195116977,0.3495681299109,0.169520414155811
"969",0.2,0.5,0.2,0.4,3,3,0.0234098544202723,0.0382678828095605,0.023271832307027,0.051182420043299,0.349736245415914,0.169732880039885
"970",0.3,0.5,0.2,0.4,3,3,0.0262943347177638,0.0383066115480474,0.0232985432913467,0.0511950249169263,0.349943620848598,0.169994924147112
"971",0.4,0.5,0.2,0.4,3,3,0.0299043172252916,0.0383551924300892,0.0233320588777061,0.0512108455529891,0.350204104555423,0.170324016486212
"972",0.5,0.5,0.2,0.4,3,3,0.0345059091716063,0.0384172981649853,0.0233749207805972,0.0512310855779649,0.350537681796891,0.170745356488249
"973",0,0,0.3,0.4,3,3,0.0190094798518635,0.0213832089205263,0.0253851853369905,0.0511258867070805,0.34880791512297,0.164024075503216
"974",0.1,0,0.3,0.4,3,3,0.0209355482643896,0.0213994203269033,0.0254053623977795,0.0511343697655394,0.348947032040418,0.164199883390192
"975",0.2,0,0.3,0.4,3,3,0.0232674597477891,0.021419078049928,0.025429830880179,0.0511446592248151,0.349115859377832,0.164413213468402
"976",0.3,0,0.3,0.4,3,3,0.0261360621066998,0.0214433058988375,0.0254599910284233,0.0511573453836408,0.349324142000506,0.164676362890482
"977",0.4,0,0.3,0.4,3,3,0.0297271163356434,0.0214737072483295,0.0254978411471823,0.0511732712122082,0.349585818439746,0.165006914736054
"978",0.5,0,0.3,0.4,3,3,0.034306274315959,0.0215125903236316,0.0255462590239911,0.0511936517351452,0.349921022398229,0.165430255434151
"979",0,0.1,0.3,0.4,3,3,0.0190277650485745,0.023542547979399,0.0254792273115186,0.051131776245347,0.348904493062203,0.164844314081217
"980",0.1,0.1,0.3,0.4,3,3,0.0209555890383178,0.0235601828539383,0.0254993505716988,0.0511402517824027,0.349043531336629,0.165020103918028
"981",0.2,0.1,0.3,0.4,3,3,0.0232895769716926,0.023581566134047,0.0255237534184784,0.0511505319657674,0.34921226066278,0.165233408478187
"982",0.3,0.1,0.3,0.4,3,3,0.0261606503866061,0.0236079198336247,0.0255538319718175,0.0511632064145803,0.349420417779929,0.16549652008037
"983",0.4,0.1,0.3,0.4,3,3,0.0297546522369673,0.0236409872086654,0.0255915784384502,0.0511791170432237,0.34968192816892,0.165827012990651
"984",0.5,0.1,0.3,0.4,3,3,0.0343373067712712,0.0236832774044124,0.0256398614056086,0.0511994771826548,0.350016903812825,0.166250257122972
"985",0,0.2,0.3,0.4,3,3,0.0190497305791537,0.0261506127462549,0.0255922123606485,0.0511388473643056,0.349020487878038,0.165832566285391
"986",0.1,0.2,0.3,0.4,3,3,0.0209796628202359,0.0261698941121531,0.0256122686216192,0.0511473137184447,0.349159429153266,0.166008312811092
"987",0.2,0.2,0.3,0.4,3,3,0.0233161441074833,0.0261932731445956,0.025636589757726,0.0511575825810743,0.349328037689579,0.166221560516441
"988",0.3,0.2,0.3,0.4,3,3,0.0261901843500869,0.0262220853079807,0.0256665667761849,0.051170242745909,0.349536040304156,0.166484594431179
"989",0.4,0.2,0.3,0.4,3,3,0.0297877246283696,0.0262582353940046,0.0257041843405346,0.0511861348461964,0.349797346573826,0.166814976138514
"990",0.5,0.2,0.3,0.4,3,3,0.0343745756000548,0.0263044644433034,0.0257522996765215,0.0512064701614272,0.350132042079965,0.167238052711171
"991",0,0.3,0.3,0.4,3,3,0.019076482681036,0.029347794667373,0.0257298402124262,0.0511474537316699,0.349161727433524,0.167040497947174
"992",0.1,0.3,0.3,0.4,3,3,0.0210089815289061,0.0293689794334904,0.0257498110944839,0.0511559086673868,0.34930054656101,0.167216157027586
